Structure / lab;Pays;Ville;Type;lat;lng
Universität Tübingen - Eberhard-Karls;Allemagne;Tubingue;Public;48.5216364;9.0576448
Universität Wien - Institut für Urgeschichte und Historische Archäologie;Autriche;Vienne;Public;48.2083537;16.3725042
Université Aix-Marseille - AMU;France;Aix-en-Provence;Public;43.529742;5.447427
Université Aristote;Grèce;Thessalonique;Public;40.6403167;22.9352716
Université Bordeaux Montaigne;France;Bordeaux;Public;44.837789;-0.57918
Université CY Cergy Paris;France;Paris;Public;48.856614;2.3522219
Université d'Anvers;Belgique;Anvers;Public;51.2211097;4.3997081
Université d'Orléans;France;Orléans;Public;47.902964;1.909251
Université de Bordeaux;France;Bordeaux;Public;44.837789;-0.57918
Université de Bourgogne Franche-Comté;France;Dijon;Public;47.322047;5.04148
Université de Caen Normandie;France;Caen;Public;49.182863;-0.370679
Université de Franche-Comté;France;Besançon;Public;47.237829;6.0240539
Université de Fribourg;Suisse;Fribourg;Public;46.6789116;7.1027113
Université de Genève;Suisse;Genève;Public;46.2017559;6.1466014
Université Grenoble Alpes;France;Grenoble;Public;45.1875602;5.7357819
Université de Haute-Alsace;France;Strasbourg;Public;48.5734053;7.7521113
Université de Lausanne;Suisse;Lausanne;Public;46.5218269;6.6327025
Université de Lille;France;Villeneuve-d'Ascq;Public;50.6193174;3.1314002
Université de Lorraine;France;Nancy;Public;48.6937223;6.1834097
Université de Montpellier;France;Montpellier;Public;43.610769;3.876716
Université de Montpellier 3;France;Montpellier;Public;43.610769;3.876716
Université de Nantes;France;Nantes;Public;48.6937223;6.1834097
Université de Namur;Belgique;Namur;Public;50.4665284;4.8661892
Université de Neuchâtel;Suisse;Neuchâtel;Public;46.9899874;6.9292732
Université de Pau et des pays de l'Adour;France;Pau;Public;51.7520131;-1.2578499
Université de Perpignan Via Domitia;France;Perpignan;Public;42.6985304;2.8953121
Université de Reims Champagne-Ardennes;France;Reims;Public;49.2577886;4.031926
Université de Strasbourg;France;Strasbourg;Public;48.5734053;7.7521113
Université de Toulouse Jean Jaurès - PLH ERASME;France;Toulouse;Public;43.604652;1.444209
Université de Toulouse Jean Jaurès - Master ATRIDA / UFR Histoire / Hist. de l'Art / Archéologie;France;Toulouse;Public;43.604652;1.444209
Université de Tours - CeTHiS;France;Tours;Public;47.394144;0.68484
Université Jean Moulin Lyon 3;France;Lyon;Public;45.764043;4.835659
Université Libre de Bruxelles;Belgique;Bruxelles;Public;50.8465573;4.351697
Université Lumière Lyon 2;France;Lyon;Public;45.764043;4.835659
Université Paris 1 Pantheon Sorbonne;France;Paris;Public;48.856614;2.3522219
Université Paris Nanterre;France;Paris;Public;48.856614;2.3522219
" Université de Saint Quentin en Yvelines Paris -Saclay";France;Versailles;Public;48.8035403;2.1266886
Université Rennes 2;France;Rennes;Public;48.117266;-1.6777926
Université Sorbonne Nouvelle - Paris 3;France;Paris;Public;48.856614;2.3522219
Universiteit Gent;Belgique;Gent;Public;51.0538286;3.7250121
University Brown;États-Unis;Providence;Privé;41.8239891;-71.4128343
University College London;Royaume-Uni;Londres;Public;51.5073219;-0.1276474
University Lebanese;Liban;Beyrouth;Public;33.8959203;35.47843
University Leiden;Pays-Bas;Leyde;Public;52.1518157;4.4811088
University of Alberta;Canada;Edmonton;Public;53.535411;-113.507996
University of Edinburgh;Royaume-Uni;Edinburgh;Public;55.9533456;-3.1883749
University of Glasgow;Royaume-Uni;Glasgow;Public;55.8609825;-4.2488787
University of Leicester School of Archaeology and Ancient History;Royaume-Uni;Leicester;Public;52.6361398;-1.1330789
University of Newcastle;Royaume-Uni;Newcastle;Public;54.9738474;-1.6131572
University of Nottingham;Royaume-Uni;Nottingham;Public;52.9534193;-1.1496461
University of Oxford;Royaume-Uni;Oxford;Public;51.7520131;-1.2578499
University of Southampton;Royaume-Uni;Southampton;Public;50.9025349;-1.404189
University of York Department of Archaeology;Royaume-Uni;York;Public;53.9590555;-1.0815361
University VU;Pays-Bas;Amsterdam;Public;52.3727598;4.8936041
